Directory,Paths,Emotions,Age,Sex,Question,Colors,Type
1,G:\Baza_danych\nagrania\output\1\speech\001.wav,happy,26,female,no,"(253, 212, 1)",speech
1,G:\Baza_danych\nagrania\output\1\speech\001.wav,happy,26,female,no,"(255, 233, 123)",speech
1,G:\Baza_danych\nagrania\output\1\speech\001.wav,happy,26,female,no,"(254, 183, 101)",speech
1,G:\Baza_danych\nagrania\output\1\speech\002.wav,angry,26,female,no,"(149, 47, 180)",speech
1,G:\Baza_danych\nagrania\output\1\speech\002.wav,angry,26,female,no,"(206, 129, 230)",speech
1,G:\Baza_danych\nagrania\output\1\speech\002.wav,angry,26,female,no,"(250, 101, 113)",speech
1,G:\Baza_danych\nagrania\output\1\speech\003.wav,neutral,26,female,no,"(130, 213, 228)",speech
1,G:\Baza_danych\nagrania\output\1\speech\003.wav,neutral,26,female,no,"(130, 157, 228)",speech
1,G:\Baza_danych\nagrania\output\1\speech\003.wav,neutral,26,female,no,"(183, 183, 183)",speech
1,G:\Baza_danych\nagrania\output\1\speech\004.wav,sad,26,female,no,"(130, 157, 228)",speech
1,G:\Baza_danych\nagrania\output\1\speech\004.wav,sad,26,female,no,"(46, 91, 210)",speech
1,G:\Baza_danych\nagrania\output\1\speech\004.wav,sad,26,female,no,"(183, 183, 183)",speech
1,G:\Baza_danych\nagrania\output\1\speech\005.wav,fear,26,female,no,"(149, 47, 180)",speech
1,G:\Baza_danych\nagrania\output\1\speech\005.wav,fear,26,female,no,"(118, 118, 118)",speech
1,G:\Baza_danych\nagrania\output\1\speech\005.wav,fear,26,female,no,"(28, 111, 126)",speech
1,G:\Baza_danych\nagrania\output\1\speech\006.wav,fear,26,female,no,"(46, 91, 210)",speech
1,G:\Baza_danych\nagrania\output\1\speech\006.wav,fear,26,female,no,"(149, 47, 180)",speech
1,G:\Baza_danych\nagrania\output\1\speech\006.wav,fear,26,female,no,"(251, 136, 2)",speech
1,G:\Baza_danych\nagrania\output\1\music\001.wav,happy,26,female,no,"(253, 212, 1)",music
1,G:\Baza_danych\nagrania\output\1\music\001.wav,happy,26,female,no,"(255, 233, 123)",music
